Werte;Gebietsschlüssel;Gebietseinheit;Merkmal;Ausprägung;Einheit
357319;01;Mitte;Einwohnerzahl;15.05.2022;Anzahl
316507;01;Mitte;Einwohnerzahl;09.05.2011;Anzahl
40812;01;Mitte;Einwohnerzahl;Veränderung zu Zensus 2011;Anzahl
9053;01;Mitte;Einwohnerzahl;Einwohnerdichte;Einw. je km²
264033;02;Friedrichshain-Kreuzberg;Einwohnerzahl;15.05.2022;Anzahl
251226;02;Friedrichshain-Kreuzberg;Einwohnerzahl;09.05.2011;Anzahl
12807;02;Friedrichshain-Kreuzberg;Einwohnerzahl;Veränderung zu Zensus 2011;Anzahl
13097;02;Friedrichshain-Kreuzberg;Einwohnerzahl;Einwohnerdichte;Einw. je km²
400411;03;Pankow;Einwohnerzahl;15.05.2022;Anzahl
355361;03;Pankow;Einwohnerzahl;09.05.2011;Anzahl
45050;03;Pankow;Einwohnerzahl;Veränderung zu Zensus 2011;Anzahl
3887;03;Pankow;Einwohnerzahl;Einwohnerdichte;Einw. je km²
317012;04;Charlottenburg-Wilmersdorf;Einwohnerzahl;15.05.2022;Anzahl
290741;04;Charlottenburg-Wilmersdorf;Einwohnerzahl;09.05.2011;Anzahl
26271;04;Charlottenburg-Wilmersdorf;Einwohnerzahl;Veränderung zu Zensus 2011;Anzahl
4898;04;Charlottenburg-Wilmersdorf;Einwohnerzahl;Einwohnerdichte;Einw. je km²
237759;05;Spandau;Einwohnerzahl;15.05.2022;Anzahl
214235;05;Spandau;Einwohnerzahl;09.05.2011;Anzahl
23524;05;Spandau;Einwohnerzahl;Veränderung zu Zensus 2011;Anzahl
2587;05;Spandau;Einwohnerzahl;Einwohnerdichte;Einw. je km²
295124;06;Steglitz-Zehlendorf;Einwohnerzahl;15.05.2022;Anzahl
277078;06;Steglitz-Zehlendorf;Einwohnerzahl;09.05.2011;Anzahl
18046;06;Steglitz-Zehlendorf;Einwohnerzahl;Veränderung zu Zensus 2011;Anzahl
2879;06;Steglitz-Zehlendorf;Einwohnerzahl;Einwohnerdichte;Einw. je km²
331288;07;Tempelhof-Schöneberg;Einwohnerzahl;15.05.2022;Anzahl
316936;07;Tempelhof-Schöneberg;Einwohnerzahl;09.05.2011;Anzahl
14352;07;Tempelhof-Schöneberg;Einwohnerzahl;Veränderung zu Zensus 2011;Anzahl
6240;07;Tempelhof-Schöneberg;Einwohnerzahl;Einwohnerdichte;Einw. je km²
305022;08;Neukölln;Einwohnerzahl;15.05.2022;Anzahl
298552;08;Neukölln;Einwohnerzahl;09.05.2011;Anzahl
6470;08;Neukölln;Einwohnerzahl;Veränderung zu Zensus 2011;Anzahl
6789;08;Neukölln;Einwohnerzahl;Einwohnerdichte;Einw. je km²
275537;09;Treptow-Köpenick;Einwohnerzahl;15.05.2022;Anzahl
237881;09;Treptow-Köpenick;Einwohnerzahl;09.05.2011;Anzahl
37656;09;Treptow-Köpenick;Einwohnerzahl;Veränderung zu Zensus 2011;Anzahl
1636;09;Treptow-Köpenick;Einwohnerzahl;Einwohnerdichte;Einw. je km²
270010;10;Marzahn-Hellersdorf;Einwohnerzahl;15.05.2022;Anzahl
243893;10;Marzahn-Hellersdorf;Einwohnerzahl;09.05.2011;Anzahl
26117;10;Marzahn-Hellersdorf;Einwohnerzahl;Veränderung zu Zensus 2011;Anzahl
4373;10;Marzahn-Hellersdorf;Einwohnerzahl;Einwohnerdichte;Einw. je km²
290543;11;Lichtenberg;Einwohnerzahl;15.05.2022;Anzahl
252197;11;Lichtenberg;Einwohnerzahl;09.05.2011;Anzahl
38346;11;Lichtenberg;Einwohnerzahl;Veränderung zu Zensus 2011;Anzahl
5556;11;Lichtenberg;Einwohnerzahl;Einwohnerdichte;Einw. je km²
252941;12;Reinickendorf;Einwohnerzahl;15.05.2022;Anzahl
237758;12;Reinickendorf;Einwohnerzahl;09.05.2011;Anzahl
15183;12;Reinickendorf;Einwohnerzahl;Veränderung zu Zensus 2011;Anzahl
2827;12;Reinickendorf;Einwohnerzahl;Einwohnerdichte;Einw. je km²